family_Size,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,date of reservation,booking status
2,0,1,Meal Plan 1,0,Room_Type 1,0,Online,3/24/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,39,Online,2/13/2018,Not_Canceled
2,0,1,Not Selected,0,Room_Type 1,73,Online,3/17/2018,Not_Canceled
1,2,2,Meal Plan 1,0,Room_Type 1,116,Online,2/28/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 4,53,Online,3/29/2018,Not_Canceled
2,1,2,Not Selected,0,Room_Type 1,19,Online,9/23/2018,Not_Canceled
1,0,1,Not Selected,0,Room_Type 1,23,Online,9/16/2018,Not_Canceled
2,1,1,Not Selected,0,Room_Type 1,0,Online,3/26/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,8,Online,10/20/2017,Not_Canceled
3,1,5,Meal Plan 1,0,Room_Type 4,85,Online,8/22/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 4,72,Online,9/19/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 4,6,Online,11/16/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,42,Online,1/16/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,16,Online,9/13/2017,Not_Canceled
4,0,1,Meal Plan 1,0,Room_Type 6,5,Online,10/31/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,80,Online,12/27/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 2,11,Online,8/19/2018,Not_Canceled
2,0,3,Meal Plan 1,1,Room_Type 1,37,Online,8/18/2018,Not_Canceled
3,2,2,Meal Plan 1,0,Room_Type 1,76,Online,6/17/2018,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,71,Online,3/14/2018,Not_Canceled
3,2,5,Meal Plan 1,0,Room_Type 4,115,Online,8/14/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,48,Online,10/19/2017,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,1,Online,4/15/2018,Not_Canceled
2,2,0,Meal Plan 1,0,Room_Type 4,30,Online,1/31/2018,Not_Canceled
3,0,2,Meal Plan 1,0,Room_Type 4,141,Online,9/23/2018,Not_Canceled
2,0,1,Meal Plan 1,1,Room_Type 1,16,Online,10/29/2017,Not_Canceled
4,2,5,Meal Plan 1,0,Room_Type 6,66,Online,5/25/2018,Not_Canceled
1,0,3,Meal Plan 2,0,Room_Type 4,18,Online,9/28/2018,Not_Canceled
2,0,1,Not Selected,0,Room_Type 1,163,Online,10/28/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,53,Online,9/20/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,10,Online,10/31/2017,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,24,Online,3/26/2018,Not_Canceled
1,1,2,Not Selected,0,Room_Type 1,35,Online,4/22/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,95,Online,5/19/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 2,16,Online,1/18/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,90,Online,8/23/2017,Not_Canceled
2,2,6,Meal Plan 1,0,Room_Type 1,88,Online,2/13/2018,Not_Canceled
2,1,2,Not Selected,0,Room_Type 1,12,Online,9/23/2018,Not_Canceled
3,0,2,Meal Plan 1,1,Room_Type 4,110,Online,8/23/2018,Not_Canceled
3,0,1,Meal Plan 1,0,Room_Type 2,6,Online,12/18/2017,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,20,Online,8/19/2018,Not_Canceled
3,0,3,Meal Plan 1,1,Room_Type 4,41,Online,3/15/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 4,120,Online,10/13/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,25,Online,4/17/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,5,Online,2/25/2018,Not_Canceled
4,0,2,Not Selected,0,Room_Type 6,39,Online,10/16/2017,Not_Canceled
2,2,0,Meal Plan 1,0,Room_Type 1,3,Online,10/16/2018,Not_Canceled
3,0,4,Meal Plan 1,0,Room_Type 4,48,Online,8/24/2018,Not_Canceled
4,2,3,Meal Plan 1,0,Room_Type 6,62,Online,4/24/2018,Not_Canceled
1,1,0,Meal Plan 1,0,Room_Type 1,60,Online,11/20/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 4,43,Online,5/18/2018,Not_Canceled
2,1,4,Meal Plan 2,0,Room_Type 4,190,Online,12/26/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 4,4,Online,1/24/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,190,Online,11/14/2018,Not_Canceled
2,1,0,Not Selected,0,Room_Type 1,7,Online,5/16/2018,Not_Canceled
2,0,4,Not Selected,0,Room_Type 1,108,Online,7/13/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,34,Online,3/26/2018,Not_Canceled
1,1,0,Meal Plan 1,0,Room_Type 1,3,Online,10/31/2018,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 4,132,Online,9/22/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,22,Online,5/30/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,43,Online,10/23/2017,Not_Canceled
3,2,5,Not Selected,0,Room_Type 1,82,Online,11/19/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,5,Online,10/21/2017,Not_Canceled
2,2,4,Meal Plan 1,0,Room_Type 1,35,Online,2/13/2018,Not_Canceled
2,0,1,Meal Plan 1,1,Room_Type 1,3,Online,4/21/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,43,Online,3/17/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 2,57,Online,10/15/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 4,23,Online,9/24/2018,Not_Canceled
3,2,5,Meal Plan 1,0,Room_Type 1,260,Online,10/22/2018,Not_Canceled
2,2,1,Not Selected,0,Room_Type 1,2,Online,11/20/2018,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 4,39,Online,3/31/2018,Not_Canceled
5,0,3,Meal Plan 2,0,Room_Type 6,3,Online,3/30/2018,Not_Canceled
3,0,4,Meal Plan 1,0,Room_Type 1,10,Online,10/19/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,30,Online,10/19/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,43,Online,5/24/2018,Not_Canceled
3,1,2,Meal Plan 1,0,Room_Type 1,48,Online,4/25/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,47,Online,12/24/2017,Not_Canceled
3,0,1,Meal Plan 1,0,Room_Type 1,1,Online,8/17/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 4,126,Online,5/15/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,105,Online,11/26/2017,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 1,3,Online,6/14/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,209,Online,10/21/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,46,Online,12/23/2017,Not_Canceled
4,0,0,Meal Plan 1,0,Room_Type 6,21,Online,2/15/2018,Not_Canceled
2,1,0,Meal Plan 1,0,Room_Type 1,43,Online,10/18/2017,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,163,Online,10/23/2018,Not_Canceled
3,2,2,Meal Plan 1,0,Room_Type 6,17,Online,10/30/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 4,83,Online,10/21/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,8,Online,6/14/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,1,Online,11/17/2017,Not_Canceled
3,0,2,Meal Plan 1,0,Room_Type 4,112,Online,7/13/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,141,Online,7/17/2018,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,58,Online,12/28/2017,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,15,Online,2/24/2018,Not_Canceled
3,0,1,Meal Plan 1,0,Room_Type 1,101,Online,7/15/2018,Not_Canceled
1,1,1,Meal Plan 1,0,Room_Type 4,3,Online,9/19/2017,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 1,196,Online,7/26/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,0,Online,6/23/2018,Not_Canceled
1,1,1,Meal Plan 1,0,Room_Type 1,59,Online,7/23/2018,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 4,61,Online,12/22/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,10,Online,12/23/2017,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 4,45,Online,8/16/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 4,19,Online,9/21/2017,Not_Canceled
2,1,0,Meal Plan 1,0,Room_Type 1,50,Online,3/28/2018,Not_Canceled
3,0,4,Meal Plan 1,0,Room_Type 1,27,Online,10/13/2017,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 4,0,Online,5/20/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,178,Online,10/26/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 2,3,Online,9/20/2018,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 1,76,Online,3/29/2018,Not_Canceled
4,0,1,Meal Plan 1,0,Room_Type 6,4,Online,7/15/2018,Not_Canceled
2,2,3,Not Selected,0,Room_Type 1,61,Online,12/22/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,105,Online,11/27/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,55,Online,10/20/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 2,183,Online,10/31/2018,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,95,Online,12/18/2017,Not_Canceled
1,0,0,Meal Plan 1,0,Room_Type 1,0,Online,10/29/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,27,Online,5/22/2018,Not_Canceled
3,2,2,Meal Plan 1,0,Room_Type 1,87,Online,5/15/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,14,Online,12/27/2017,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,35,Online,10/20/2017,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,20,Online,6/22/2018,Not_Canceled
2,1,2,Not Selected,0,Room_Type 1,19,Online,9/23/2018,Not_Canceled
2,0,4,Not Selected,0,Room_Type 1,58,Online,12/13/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,75,Online,6/26/2018,Not_Canceled
3,0,1,Meal Plan 1,0,Room_Type 1,63,Online,7/23/2018,Not_Canceled
1,1,2,Meal Plan 1,0,Room_Type 1,2,Online,11/13/2017,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,50,Online,6/22/2018,Not_Canceled
2,0,1,Not Selected,1,Room_Type 1,0,Online,10/22/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 4,52,Online,5/31/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 2,200,Online,10/31/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 4,27,Online,5/18/2018,Not_Canceled
2,0,3,Not Selected,0,Room_Type 1,12,Online,11/30/2018,Not_Canceled
1,0,1,Meal Plan 1,1,Room_Type 4,0,Online,7/23/2018,Not_Canceled
3,1,2,Meal Plan 1,0,Room_Type 1,75,Online,7/18/2018,Not_Canceled
2,1,0,Meal Plan 1,0,Room_Type 1,0,Online,1/17/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,80,Online,4/28/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 4,108,Online,4/28/2018,Not_Canceled
2,1,0,Meal Plan 1,0,Room_Type 4,13,Online,11/22/2017,Not_Canceled
4,0,2,Meal Plan 1,0,Room_Type 6,1,Online,11/29/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 4,0,Online,2/13/2018,Not_Canceled
1,0,3,Meal Plan 1,1,Room_Type 1,19,Online,6/21/2018,Not_Canceled
3,0,2,Meal Plan 1,0,Room_Type 4,50,Online,7/20/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,275,Online,12/28/2018,Not_Canceled
3,2,5,Meal Plan 1,0,Room_Type 1,150,Online,9/18/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,2,Online,1/29/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,109,Online,4/30/2018,Not_Canceled
2,1,0,Not Selected,0,Room_Type 1,1,Online,5/23/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,78,Online,11/26/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 4,0,Online,7/23/2018,Not_Canceled
1,1,2,Meal Plan 1,0,Room_Type 1,50,Online,11/18/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 4,1,Online,1/22/2018,Not_Canceled
2,0,5,Meal Plan 1,0,Room_Type 1,67,Online,3/29/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,1,Online,1/19/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 4,140,Online,7/18/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,33,Online,5/25/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,8,Online,5/24/2018,Not_Canceled
3,1,2,Meal Plan 1,0,Room_Type 4,6,Online,3/25/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,6,Online,8/23/2018,Not_Canceled
2,2,4,Meal Plan 1,0,Room_Type 1,149,Online,7/23/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,101,Online,4/26/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,12,Online,9/18/2018,Not_Canceled
4,1,2,Meal Plan 1,0,Room_Type 4,64,Online,11/18/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,42,Online,9/15/2018,Not_Canceled
2,1,0,Not Selected,0,Room_Type 1,20,Online,6/26/2018,Not_Canceled
3,1,0,Meal Plan 1,0,Room_Type 4,28,Online,5/29/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,169,Online,8/27/2018,Not_Canceled
3,0,2,Meal Plan 1,0,Room_Type 4,82,Online,8/19/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,9,Online,8/14/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,20,Online,1/25/2018,Not_Canceled
2,2,2,Not Selected,0,Room_Type 1,5,Online,8/16/2017,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,125,Online,8/22/2018,Not_Canceled
3,1,3,Meal Plan 1,0,Room_Type 4,266,Online,12/26/2018,Not_Canceled
2,2,4,Meal Plan 1,0,Room_Type 1,59,Online,11/28/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,143,Online,4/22/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,21,Online,8/28/2018,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 1,14,Online,10/13/2017,Not_Canceled
3,1,0,Meal Plan 1,0,Room_Type 1,86,Online,7/17/2018,Not_Canceled
1,1,3,Meal Plan 1,0,Room_Type 1,22,Online,9/17/2017,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,43,Online,11/30/2018,Not_Canceled
3,1,3,Meal Plan 1,0,Room_Type 4,79,Online,10/20/2018,Not_Canceled
4,2,1,Meal Plan 1,0,Room_Type 6,46,Online,5/28/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,3,Online,3/29/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,178,Online,10/26/2018,Not_Canceled
3,1,0,Meal Plan 1,0,Room_Type 4,60,Online,7/25/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,35,Online,10/28/2018,Not_Canceled
3,1,3,Meal Plan 1,0,Room_Type 4,40,Online,12/22/2018,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 4,74,Online,12/22/2018,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,259,Online,12/28/2018,Not_Canceled
4,1,1,Not Selected,0,Room_Type 6,7,Online,8/17/2017,Not_Canceled
1,1,0,Meal Plan 1,0,Room_Type 1,0,Online,10/18/2017,Not_Canceled
2,1,0,Not Selected,0,Room_Type 1,137,Online,4/17/2018,Not_Canceled
2,2,1,Not Selected,0,Room_Type 1,8,Online,10/29/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,143,Online,8/14/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,83,Online,4/25/2018,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 6,8,Online,4/21/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 2,12,Online,12/24/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 2,14,Online,1/21/2018,Not_Canceled
3,2,1,Meal Plan 1,0,Room_Type 4,59,Online,12/24/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 4,4,Online,11/26/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 4,142,Online,5/23/2018,Not_Canceled
3,2,5,Meal Plan 1,0,Room_Type 4,19,Online,2/19/2018,Not_Canceled
2,2,4,Meal Plan 1,0,Room_Type 4,123,Online,9/18/2018,Not_Canceled
3,2,5,Meal Plan 1,0,Room_Type 4,110,Online,6/13/2018,Not_Canceled
1,0,1,Not Selected,0,Room_Type 1,8,Online,10/25/2018,Not_Canceled
2,1,1,Not Selected,0,Room_Type 1,54,Online,10/29/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,11,Online,8/20/2018,Not_Canceled
4,0,4,Meal Plan 1,0,Room_Type 6,1,Online,12/30/2017,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,0,Online,10/20/2017,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 4,47,Online,8/31/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,10,Online,1/15/2018,Not_Canceled
2,0,1,Not Selected,0,Room_Type 1,13,Online,1/16/2018,Not_Canceled
2,1,0,Meal Plan 1,0,Room_Type 1,139,Online,6/13/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,131,Online,4/16/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,4,Online,12/13/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,21,Online,11/16/2018,Not_Canceled
2,2,4,Meal Plan 1,0,Room_Type 1,94,Online,11/13/2018,Not_Canceled
3,2,1,Meal Plan 1,0,Room_Type 4,134,Online,10/15/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,1,Online,6/26/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,1,Online,8/19/2017,Not_Canceled
1,5,14,Meal Plan 1,0,Room_Type 1,14,Online,1/20/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 4,77,Online,9/16/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,10,Online,1/14/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,35,Online,10/17/2017,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,89,Online,11/30/2017,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,290,Online,10/24/2018,Not_Canceled
3,1,1,Meal Plan 1,0,Room_Type 1,7,Online,4/16/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 4,112,Online,5/27/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,69,Online,12/30/2017,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,16,Online,8/29/2017,Not_Canceled
3,1,2,Meal Plan 1,0,Room_Type 1,98,Online,7/15/2018,Not_Canceled
4,1,2,Meal Plan 1,0,Room_Type 6,47,Online,4/15/2018,Not_Canceled
3,1,2,Meal Plan 1,0,Room_Type 1,16,Online,6/13/2018,Not_Canceled
2,0,1,Meal Plan 1,1,Room_Type 1,8,Online,1/27/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,63,Online,12/13/2018,Not_Canceled
2,0,2,Not Selected,0,Room_Type 1,76,Online,3/18/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 4,5,Online,9/19/2017,Not_Canceled
3,1,0,Meal Plan 1,0,Room_Type 1,12,Online,5/16/2018,Not_Canceled
3,2,5,Meal Plan 1,0,Room_Type 4,88,Online,12/17/2018,Not_Canceled
1,1,1,Meal Plan 1,0,Room_Type 1,100,Online,4/18/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,5,Online,2/24/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,41,Online,8/20/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 4,66,Online,10/25/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,87,Online,12/16/2018,Not_Canceled
2,1,1,Meal Plan 1,1,Room_Type 1,77,Online,6/18/2018,Not_Canceled
2,2,3,Meal Plan 1,1,Room_Type 4,136,Online,5/29/2018,Not_Canceled
3,0,1,Meal Plan 1,0,Room_Type 1,0,Online,3/31/2018,Not_Canceled
2,2,7,Meal Plan 1,0,Room_Type 4,57,Online,4/21/2018,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 1,4,Online,12/28/2018,Not_Canceled
3,2,3,Meal Plan 1,0,Room_Type 1,56,Online,4/24/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,66,Online,10/17/2018,Not_Canceled
2,2,1,Not Selected,0,Room_Type 1,48,Online,4/17/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,63,Online,6/20/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,9,Online,10/17/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,20,Online,9/29/2017,Not_Canceled
1,1,0,Meal Plan 1,0,Room_Type 1,6,Online,9/27/2017,Not_Canceled
2,1,1,Not Selected,0,Room_Type 1,30,Online,10/17/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,12,Online,8/25/2017,Not_Canceled
2,2,5,Not Selected,0,Room_Type 1,107,Online,12/21/2018,Not_Canceled
2,1,4,Meal Plan 2,0,Room_Type 4,146,Online,10/19/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 4,163,Online,6/29/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,45,Online,10/20/2017,Not_Canceled
1,1,3,Meal Plan 1,1,Room_Type 1,5,Online,10/19/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,41,Online,3/31/2018,Not_Canceled
3,0,2,Meal Plan 1,0,Room_Type 4,41,Online,11/18/2018,Not_Canceled
2,1,0,Not Selected,0,Room_Type 1,93,Online,6/26/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 2,145,Online,8/15/2018,Not_Canceled
3,2,4,Meal Plan 1,0,Room_Type 1,47,Online,3/31/2018,Not_Canceled
3,2,1,Meal Plan 1,0,Room_Type 4,85,Online,6/26/2018,Not_Canceled
